,gold,silver,platinum,palladium,gold_usd,silver_usd,platinum_usd,palladium_usd
0,4784.4,58.7,2183.31,5677.62,67.13,0.82,30.63,79.66
1,4759.17,60.67,2195.94,5662.27,66.78,0.85,30.81,79.45
2,4729.52,60.93,2179.19,5812.01,66.36,0.85,30.58,81.55
3,4667.69,59.68,2145.92,5813.41,65.49,0.84,30.11,81.57
4,4673.64,60.85,2189.85,0.0,65.58,0.85,30.73,0.0
5,4697.13,60.87,0.0,5853.59,65.91,0.85,0.0,82.13
6,4750.35,61.74,2210.56,5957.61,66.65,0.87,31.02,83.59
7,4752.55,61.97,2169.54,5943.94,66.68,0.87,30.44,83.4
8,4767.05,61.59,2138.03,5876.45,66.89,0.86,30.0,82.45
9,4785.15,62.23,2184.64,5874.97,67.14,0.87,30.65,82.43
10,4783.12,61.06,0.0,5883.02,67.11,0.86,0.0,82.55
11,4740.64,59.98,2142.65,5881.64,66.52,0.84,30.06,82.53
12,0.0,60.06,2176.4,0.0,0.0,0.84,30.54,0.0
13,4772.77,61.96,2164.25,6003.24,66.97,0.87,30.37,84.23
14,4754.14,62.06,2199.02,6067.12,66.71,0.87,30.85,85.13
15,4736.09,60.22,2176.86,5968.41,66.45,0.84,30.54,83.74
16,4737.92,60.02,2169.37,5931.95,66.48,0.84,30.44,83.23
17,4740.23,59.08,2169.26,5925.29,66.51,0.83,30.44,83.14
18,4827.56,61.34,2244.03,5926.86,67.74,0.86,31.49,83.16
19,4771.68,60.07,2212.96,5814.99,66.95,0.84,31.05,81.59
20,4786.39,59.92,0.0,5802.22,67.16,0.84,0.0,81.41
21,4709.54,58.68,2233.59,5769.07,66.08,0.82,31.34,80.95
22,4770.62,60.1,2208.76,5848.66,66.94,0.84,30.99,82.06
23,4822.55,61.06,2239.11,5802.74,67.67,0.86,31.42,81.42
24,4681.68,57.9,2157.53,5632.84,65.69,0.81,30.27,79.04
25,4618.65,55.89,2116.62,0.0,64.8,0.78,29.7,0.0
26,4592.32,55.14,2081.83,5520.96,64.44,0.77,29.21,77.47
27,4635.01,57.92,2096.44,5479.23,65.03,0.81,29.42,76.88
28,4666.73,59.59,0.0,5559.07,65.48,0.84,0.0,78.0
29,4720.43,64.44,2261.33,5737.66,66.23,0.9,31.73,80.51
30,0.0,65.28,2274.83,5659.33,0.0,0.92,31.92,79.41
31,4680.61,64.66,2299.08,5717.49,65.67,0.91,32.26,80.22
32,4733.17,65.96,2363.21,5721.33,66.41,0.93,33.16,80.28
33,4746.61,66.59,2332.75,0.0,66.6,0.93,32.73,0.0
34,4665.67,64.58,2258.01,5582.56,65.46,0.91,31.68,78.33
35,4681.88,0.0,2239.21,5547.47,65.69,0.0,31.42,77.84
36,4722.48,65.82,2241.28,5563.14,66.26,0.92,31.45,78.06
37,4716.38,64.9,2228.08,5517.61,66.18,0.91,31.26,77.42
38,4690.71,65.15,2220.06,5646.63,65.82,0.91,31.15,79.23
39,4686.6,0.0,2201.86,5589.7,65.76,0.0,30.89,78.43
40,4683.5,64.82,2187.53,5518.39,65.71,0.91,30.69,77.43
41,4692.8,65.27,2215.26,5566.05,65.85,0.92,31.08,78.1
42,4675.61,65.79,2222.64,0.0,65.6,0.92,31.19,0.0
43,4703.11,68.34,2247.52,5377.48,65.99,0.96,31.54,75.45
44,4644.5,64.9,2206.75,5163.32,65.17,0.91,30.96,72.45
45,4693.4,0.0,2231.7,5231.29,65.85,0.0,31.31,73.4
46,4689.71,65.9,2256.81,5282.82,65.8,0.92,31.67,74.12
47,0.0,64.1,2239.17,0.0,0.0,0.9,31.42,0.0
48,4612.67,63.47,2208.77,5188.94,64.72,0.89,30.99,72.81
49,4659.72,64.33,2215.55,5191.95,65.38,0.9,31.09,72.85
50,4604.75,63.97,2172.72,5193.56,64.61,0.9,30.49,72.87
51,4572.94,63.84,2208.14,5146.79,64.16,0.9,30.98,72.22
52,4693.26,64.61,2241.67,0.0,65.85,0.91,31.45,0.0
53,4733.95,66.87,2294.79,5229.38,66.42,0.94,32.2,73.37
54,4574.27,63.14,2240.39,5109.5,64.18,0.89,31.44,71.69
55,4586.18,62.86,2224.47,5060.97,64.35,0.88,31.21,71.01
56,4569.73,62.12,2224.52,5076.16,64.12,0.87,31.21,71.22
57,4548.31,60.77,2208.58,5015.22,63.82,0.85,30.99,70.37
58,4695.8,66.51,2239.01,5127.13,65.89,0.93,31.42,71.94
59,4815.71,67.05,2305.51,5194.5,67.57,0.94,32.35,72.88
60,4880.61,67.07,2305.95,5170.62,68.48,0.94,32.36,72.55
61,4811.98,65.48,2294.27,5213.18,67.52,0.92,32.19,73.15
62,4793.21,63.48,2245.29,5074.88,67.25,0.89,31.5,71.21
63,4653.01,57.4,2177.58,4954.4,65.29,0.81,30.55,69.52
64,4704.01,57.77,2160.13,0.0,66.0,0.81,30.31,0.0
65,4661.68,56.82,2143.52,4943.31,65.41,0.8,30.08,69.36
66,4604.62,54.63,2141.68,4917.85,64.61,0.77,30.05,69.0
67,4538.78,56.52,2194.67,5271.85,63.68,0.79,30.79,73.97
68,4466.49,54.44,2141.16,5274.28,62.67,0.76,30.04,74.0
69,4466.19,56.1,2165.72,5206.01,62.67,0.79,30.39,73.05
70,0.0,51.74,2110.85,4914.57,0.0,0.73,29.62,68.96
71,4294.6,52.16,2117.24,4918.94,60.26,0.73,29.71,69.02
72,4212.67,50.63,1998.23,4799.85,59.11,0.71,28.04,67.35
73,4159.87,46.9,1943.95,4750.36,58.37,0.66,27.28,66.65
74,4188.41,44.98,1948.1,4689.78,58.77,0.63,27.33,65.8
75,4156.86,44.18,1902.16,4569.81,58.33,0.62,26.69,64.12
76,4132.77,44.07,1893.94,4525.29,57.99,0.62,26.57,63.5
77,4118.45,44.0,1896.13,4497.9,57.79,0.62,26.6,63.11
78,4112.12,43.21,1882.04,4534.73,57.7,0.61,26.41,63.63
79,4112.58,43.43,1906.11,4510.52,57.7,0.61,26.74,63.29
80,4135.33,42.98,1928.26,4456.51,58.02,0.6,27.06,62.53
81,4130.29,42.92,1955.25,4455.14,57.95,0.6,27.43,62.51
82,4121.14,42.34,1923.89,4408.92,57.82,0.59,26.99,61.86
83,4119.83,41.81,1907.35,4462.09,57.81,0.59,26.76,62.61
84,4069.87,41.87,1878.51,4403.83,57.1,0.59,26.36,61.79
85,4022.46,40.84,1840.5,4329.25,56.44,0.57,25.82,60.74
86,4017.25,40.64,1863.69,4319.14,56.37,0.57,26.15,60.6
87,4047.99,41.26,1868.41,4382.27,56.8,0.58,26.22,61.49
88,4010.17,40.41,1834.44,4334.71,56.27,0.57,25.74,60.82
89,3978.0,40.27,1826.18,4216.85,55.82,0.57,25.62,59.17
90,3916.32,39.63,1782.47,4102.79,54.95,0.56,25.01,57.57
91,3927.51,39.15,1802.34,4176.42,55.11,0.55,25.29,58.6
92,3929.94,39.52,1828.09,4293.57,55.14,0.55,25.65,60.24
93,3887.67,39.42,1825.87,4271.43,54.55,0.55,25.62,59.93
94,3899.24,39.9,1807.26,4284.71,54.71,0.56,25.36,60.12
95,3866.43,39.2,1800.63,4247.69,54.25,0.55,25.26,59.6
96,3878.14,39.43,1828.67,4326.57,54.41,0.55,25.66,60.71
97,3836.28,39.03,1822.86,4309.2,53.83,0.55,25.58,60.46
98,3875.98,39.04,1861.35,4408.93,54.38,0.55,26.12,61.86
99,3871.06,38.67,1821.92,4304.7,54.32,0.54,25.56,60.4
100,3848.83,39.72,1833.41,4282.41,54.0,0.56,25.72,60.09
101,3789.36,39.08,1850.94,4246.8,53.17,0.55,25.97,59.59
102,3770.05,38.93,1817.13,4345.22,52.9,0.55,25.5,60.97
103,3716.12,38.72,1827.31,4282.77,52.14,0.54,25.64,60.09
104,3772.23,38.79,1842.48,4247.64,52.93,0.54,25.85,59.6
105,3786.42,39.39,1848.33,4326.83,53.13,0.55,25.93,60.71
106,3773.95,39.24,1819.3,4288.98,52.95,0.55,25.53,60.18
107,3859.62,40.52,1876.31,4333.69,54.15,0.57,26.33,60.81
108,3888.16,40.7,1873.7,4336.86,54.56,0.57,26.29,60.85
109,3925.38,40.01,1910.77,4369.75,55.08,0.56,26.81,61.31
110,3939.39,0.0,1911.06,4434.75,55.27,0.0,26.81,62.22
111,3895.83,39.27,1898.62,4489.52,54.66,0.55,26.64,62.99
112,3940.32,39.57,1914.41,4476.11,55.29,0.56,26.86,62.8
113,3990.41,0.0,1922.06,4408.08,55.99,0.0,26.97,61.85
114,4003.7,39.29,1915.82,4575.79,56.18,0.55,26.88,64.2
115,3951.23,39.23,1922.26,4647.17,55.44,0.55,26.97,65.21
116,4070.13,40.63,1976.86,4809.59,57.11,0.57,27.74,67.48
117,4038.71,39.85,1875.92,4633.95,56.67,0.56,26.32,65.02
118,4122.31,40.71,1914.62,4505.0,57.84,0.57,26.86,63.21
119,4083.17,0.0,1821.7,4295.34,57.29,0.0,25.56,60.27
120,4079.71,36.91,1818.33,4302.18,57.24,0.52,25.51,60.36
121,4021.35,36.81,1797.94,4341.08,56.42,0.52,25.23,60.91
122,4021.69,36.56,1810.82,4403.1,56.43,0.51,25.41,61.78
123,4047.21,0.0,1800.29,4298.85,56.79,0.0,25.26,60.32
124,4023.9,35.7,1794.33,4324.99,56.46,0.5,25.18,60.68
125,4040.41,35.85,1795.58,4221.39,56.69,0.5,25.19,59.23
126,4014.11,35.86,1819.12,4655.36,56.32,0.5,25.52,65.32
127,4041.8,35.93,1847.95,4638.83,56.71,0.5,25.93,65.09
